address,zip_code,building_name,leasing_phone,leasing_email,website,numberofunits,year_built,number_stories,total_livable_area,market_value,owner_business_name,parcel_number,contact_confidence,source,active_listings_count,studio_count,br1_count,br2_count,br3plus_count,rent_min,rent_max,year_built_source,construction_era,website_source,lon,lat
1101-37 CECIL B MOORE AVE,19122,Kardon/Atlantic Apartments,+1 215-236-8862,,,368,2018,18,461286,99616800,VANTAGE,881147220,matched,opa_license,0,,,,,,,opa_license,2010-2019,,-75.153261,39.978578
1601 N BROAD ST,19122,Oxford Village Apartments,+1 215-765-3134,housing@temple.edu,https://www.temple.edu,367,2013,9,169061,18791700,EDWARD NEBLOCK,881299110,matched,opa_license,0,,,,,,,opa_license,2010-2019,derived_from_email,-75.157498,39.97747
1 DOCK ST,19106,The Ryland,+1 267-481-8961,(215) 238-6000,,365,2024,31,289664,108224900,SHERATON SOCIETY HILL ,881000678,matched,opa_license,1,1,0,0,0,1949,1949,opa_license,2020+,,-75.143536,39.946185
4000 PRESIDENTIAL BLVD,19131,Lincoln Green Apartments,+1 215-297-6454,,,360,1986,3,253400,60274500,LINCOLN GREEN 2018 LLC,881162530,matched,opa_license,1,0,1,0,0,1595,1595,opa_license,1980-1999,,-75.209247,40.00549
3901-03 SPRUCE ST,19104,The Chestnut,+1 833-876-4829,,,354,1970,5,294290,30737400,ATTN: PAUL KILBRIDE,881822550,matched,opa_license,0,,,,,,,opa_license,1950-1979,,-75.201097,39.951874
3400L LANCASTER AVE,19104,Arrive University City,+1 888-910-2827,,,351,2014,26,552275,96985600,AMERICAN CAMPUS COMMUNITIES OPERATING PARTNERSHIP,881111120,matched,opa_license,0,,,,,,,opa_license,2010-2019,,-75.191907,39.957208
5437-53 VINE ST,19139,Haverford Apartments,+1 215-712-8580,,,348,1958,,41607,4522400,C/O DANIEL QUIMBY,886761010,matched,opa_license,0,,,,,,,opa_license,1950-1979,,-75.229391,39.96571
500 ADAMS AVE,19120,,,,,334,1938,,171000,27708400,C/O DANIEL QUIMBY,886761630,websearch,opa_license,0,,,,,,,opa_license,Pre-1950,,-75.110773,40.036813
3850 CITY AVE,19131,Presidential City,+1 267-490-4288,,,330,1953,11,391885,130088100,POST PRESIDENTIAL PROPERTY OWNER LLC,881162520,matched,opa_license,0,,,,,,,opa_license,1950-1979,,-75.207669,40.008195
1229-37 CHESTNUT ST,19107,The Collins Apartments,+1 267-881-0177,,https://www.maxwellrealty.com,324,1907,16,267023,49359300,L A 1229 CHESTNUT ST LP,881302000,matched,opa_license,45,33,7,5,0,975,2200,opa_license,Pre-1950,rentcast_api,-75.16143,39.950845
1000 S BROAD ST,19146,Lincoln Square,+1 215-515-2553,leasing@lincolnsquare.com,https://www.lincolnsquare.com,322,2018,9,458809,121200000,LINCOLN SQUARE 1766 ASSOCIATES LLC,881111438,matched,opa_license,1,1,0,0,0,1727,1727,opa_license,2010-2019,derived_from_email,-75.167519,39.938608
1919-43 MARKET ST,19103,The Terrace on 18th Street,+1 215-398-1976,,,321,2014,28,455000,120872500,BRANDYWINE 1919 VENTURES,881035640,matched,opa_license,1,1,0,0,0,2046,2046,opa_license,2010-2019,,-75.172642,39.953882
3900-06 CHESTNUT ST,19104,The Chestnut,+1 833-876-4829,,http://tcsgroup.com,315,1923,11,268381,52311900,AIMCO CHESTNUT HALL LP,881117500,matched,opa_license,55,39,16,0,0,1093,1642,opa_license,Pre-1950,rentcast_api,-75.200536,39.955001
200 W WASHINGTON SQ,19106,The Ledger Residences by Sosuite - Old City,+1 833-533-4371,,https://null,306,2002,33,665742,183000000,ST. JAMES ASSOC JOINT VENTURE,881567905,matched,opa_license,1,1,0,0,0,2564,2564,opa_license,2000-2009,rentcast_api,-75.153803,39.947711
6100 CITY AVE,19131,6300 CITY AVE,+1 267-885-2858,,,302,1983,20,511806,52701200,"EXECUTIVE HOUSE INVESTORS, LP",881125625,matched,opa_license,1,0,1,0,0,1728,1728,opa_license,1980-1999,,-75.248437,39.990441
3939 CONSHOHOCKEN AVE,19131,The Helston Apartments,+1 267-697-5274,,,300,1968,11,260237,49734000,BRITH SHOLOM WINIT LP,881161010,matched,opa_license,0,,,,,,,opa_license,1950-1979,,-75.208337,40.003215
1220-46 N BROAD ST,19121,The Greenery Apartments,+1 267-530-1047,,,300,1940,15,244470,31171300,SREP REGENCY APARTMENTS LLC,881146000,matched,opa_license,0,,,,,,,opa_license,Pre-1950,,-75.15966,39.972756
3901 CONSHOHOCKEN AVE,19131,Lincoln Green Apartments,+1 215-297-6454,,,300,1968,9,368612,54328300,KIRYAT GREENBRIER PRTSHP,881161000,matched,opa_license,1,1,0,0,0,835,835,opa_license,1950-1979,,-75.206722,40.004739
3401 CHESTNUT ST,19104,Arrive University City,+1 888-910-2827,,,290,2007,8,525469,91435000,KRISTIN HEVERLY AGENT,881116113,matched,opa_license,0,,,,,,,opa_license,2000-2009,,-75.192742,39.954866
4700 CITY AVE,19131,Vista Apartment Homes,+1 267-376-8914,,,276,1847,5,291026,61416000,TINA MCARDLE-HUDSON AGT,881155152,matched,opa_license,1,0,1,0,0,1816,1816,opa_license,Pre-1950,,-75.224613,40.001325
4040 PRESIDENTIAL BLVD,19131,Lincoln Green Apartments,+1 215-297-6454,,,276,1988,2,194304,47129200,GATEWAY MADISON PROPTS INC,881162535,matched,opa_license,0,,,,,,,opa_license,1980-1999,,-75.210967,40.004622
3800 CITY AVE,19131,Presidential City,+1 267-490-4288,,,265,1955,13,451857,52820800,POST PRESIDENTIAL PROPERTY OWNER LLC,881162420,matched,opa_license,0,,,,,,,opa_license,1950-1979,,-75.209534,40.008069
7800 LINDBERGH BLVD,19153,International City Apartments,+1 215-365-6650,,,262,1971,2,246303,29249100,ATTN:PROPERTY MANAGER,881141900,matched,opa_license,0,,,,,,,opa_license,1950-1979,,-75.244514,39.902104
9601 ASHTON RD,19114,Victoria Woods,+1 215-671-9955,,,260,1972,2,256300,25949600,ASHTON APTS LP,881193500,matched,opa_license,0,,,,,,,opa_license,1950-1979,,-75.014084,40.06974
10900-60 BUSTLETON AVE,19116,Ashley Court Apartments,+1 215-464-9100,,,254,1965,3,223170,37120700,ASHLEY COURT 2013 LP,881203000,matched,opa_license,1,1,0,0,0,1175,1175,opa_license,1950-1979,,-75.024513,40.112612
3102-18 W ABBOTTSFORD AVE,19129,NewCourtland Apartments at Henry Avenue,+1 215-844-1980,,,254,1942,,232908,36175500,C/O DANIEL QUIMBY,886761420,matched,opa_license,0,,,,,,,opa_license,Pre-1950,,-75.179063,40.011939
5553 WISSAHICKON AVE,19144,Hathaway House Apartments,+1 267-697-5641,,,250,1959,14,273509,25498600,PARK HEIGHTS LIMITED PRTNRSP,881063000,matched,opa_license,1,1,0,0,0,975,975,opa_license,1950-1979,,-75.18268,40.027271
4231-41 LOCUST ST,19104,Fairfax Apartments,+1 267-332-1996,,http://tcsgroup.com,250,1927,8,190150,34404200,FAIRFAX APARTMENTS ASSOCIATES,881121500,matched,opa_license,13,8,3,2,0,1215,2445,opa_license,Pre-1950,rentcast_api,-75.208496,39.953993
4001 MONUMENT RD,19131,Meta Christy House,+1 267-641-1067,,,250,1975,12,123552,41282900,OVERMONT CORPORATION,881445825,matched,opa_license,0,,,,,,,opa_license,1950-1979,,-75.214976,40.004377
219-25 N 34TH ST,19104,Vue 32,+1 267-641-8054,,,249,2009,17,110007,41677900,ATTN: UNIVERSITY HOUSING,881822910,matched,opa_license,0,,,,,,,opa_license,2000-2009,,-75.190433,39.959581
1801-23 N 10TH ST,19122,Kardon/Atlantic Apartments,+1 215-236-8862,,,248,1911,5,83659,7695200,"1801 NORTH TENTH STREET GP, LP",881147225,matched,opa_license,0,,,,,,,opa_license,Pre-1950,,-75.150177,39.979629
250 N CHRISTOPHER COLUMBUS BLVD,19106,The National Old City Apartments,+1 215-278-9885,,,247,2017,16,210222,60000000,ONE WATER STREET ASSOCIATES OWNER LP,881007320,matched,opa_license,0,,,,,,,opa_license,2010-2019,,-75.139936,39.95486
2001-47 N BROAD ST,19122,,,,,247,1961,11,164412,53204000,TEMPLE UNIVERSITY,881299200,websearch,opa_license,0,,,,,,,opa_license,1950-1979,,-75.156055,39.983865
1199 LUDLOW ST,19107,The Collins Apartments,+1 267-881-0177,,,240,2018,23,169220,102705500,THE GIRARD,881012002,matched,opa_license,1,0,1,0,0,2158,2158,opa_license,2010-2019,,-75.159763,39.95125
1100 W MONTGOMERY AVE,19122,The View at Montgomery,+1 267-728-0237,,,238,2013,14,324477,60782300,"WESTMONT NORTH ASSOCIATES, LP",881147221,matched,opa_license,0,,,,,,,opa_license,2010-2019,,-75.153111,39.979269
2201 BRYN MAWR AVE,19131,Bryn Mawr Apartments,+1 877-783-1908,,,236,1960,18,197925,39327800,"CP ACQUISITIONS 30, LLC",881158000,matched,opa_license,0,,,,,,,opa_license,1950-1979,,-75.226056,39.990255
5325 OLD YORK RD,19141,YONO Apartments,+1 844-858-8157,,,233,1964,13,165402,15555100,AGT: PAUL COHEN,881150575,matched,opa_license,1,1,0,0,0,1025,1025,opa_license,1950-1979,,-75.144511,40.033958
1100-44 FAIRMOUNT AVE,19123,Broadridge,+1 215-918-4786,,,230,1999,,66690,12371400,C/O DANIEL QUIMBY,886761365,matched,opa_license,0,,,,,,,opa_license,1980-1999,,-75.156092,39.965638
3301 ARCH ST,19104,Vue 32,+1 267-641-8054,,,221,1972,8,88000,36463600,ATTN: UNIVERSITY HOUSING,881810301,matched,opa_license,0,,,,,,,opa_license,1950-1979,,-75.189632,39.958019
1320 W SOMERVILLE AVE,19141,YONO Apartments,+1 844-858-8157,,,218,1956,11,149689,14230800,AGT: PAUL COHEN,881150675,matched,opa_license,1,1,0,0,0,878,878,opa_license,1950-1979,,-75.144216,40.034593
8500 LINDBERGH BLVD,19153,Korman Residential At International City C...,+1 215-365-6650,,,218,1976,2,160959,24569000,ATTN: PROPERTY MANAGER,881138500,matched,opa_license,0,,,,,,,opa_license,1950-1979,,-75.253177,39.894955
4901-37 STENTON AVE,19144,Hilltop Crescent Apartments,+1 215-438-3382,,,216,1890,2,198000,19380100,FISHERS CROSSING REALTY LP,881422820,matched,opa_license,1,0,1,0,0,1035,1035,opa_license,Pre-1950,,-75.158073,40.029879
401 RACE ST,19106,The View at Old City,+1 833-981-3117,,,216,2019,4,243807,44178000,PRCP-PHILADELPHIA INVESTMENT LLC,881007362,matched,opa_license,1,1,0,0,0,1895,1895,opa_license,2010-2019,,-75.147138,39.954622
3900 GATEWAY DR,19145,The Enclaves,+1 844-581-5799,,,216,2005,3,54940,6884800,GATEWAY ENCLAVE LP,881113406,matched,opa_license,1,0,1,0,0,1845,1845,opa_license,2000-2009,,-75.192555,39.901565
204-06 S 13TH ST,19107,The Collins Apartments,+1 267-881-0177,,,212,1928,22,128337,25000000,CHANCELLOR ASSOCIATES,881015000,matched,opa_license,1,1,0,0,0,1150,1150,opa_license,Pre-1950,,-75.162525,39.948644
1340 RHAWN ST,19111,,,,,212,1975,4,184640,21894500,GLORIA DEI ESTATES CORPORATION,881228101,websearch,opa_license,0,,,,,,,opa_license,1950-1979,,-75.067262,40.066987
201 N 34TH ST,19104,Vue 32,+1 267-641-8054,,,208,1962,11,79377,43649000,ATTN: UNIVERSITY HOUSING,881822870,matched,opa_license,0,,,,,,,opa_license,1950-1979,,-75.190399,39.959122
6451-61 OXFORD AVE,19111,Oxford House Apartments,+1 215-650-6496,,,207,1960,4,171000,23000000,OXFORD APT PARTNERS LP,881163000,matched,opa_license,8,0,6,2,0,1185,1600,opa_license,1950-1979,,-75.086497,40.046168
1616-26 WALNUT ST,19103,Icon Apartments,+1 267-827-2817,,http://tcsgroup.com,206,1929,25,274250,71538300,1616 WALNUT LP,881012260,matched,opa_license,14,0,14,0,0,2154,3774,opa_license,Pre-1950,rentcast_api,-75.168476,39.949578
8400 LINDBERGH BLVD,19153,Korman Residential At International City C...,+1 215-365-6650,,,202,1976,2,185840,24079300,EASTWICK JOINT VENTURE *,881138000,matched,opa_license,0,,,,,,,opa_license,1950-1979,,-75.252079,39.896152
3701 CONSHOHOCKEN AVE,19131,West River Apartments,+1 215-660-7891,,,200,1965,11,305100,39446000,DUFFIELD HSE ASSOCIATES,881159500,matched,opa_license,1,1,0,0,0,1210,1210,opa_license,1950-1979,,-75.204467,40.003895
6100 OXFORD AVE,19111,,,,,200,1942,2,225550,22166500,C/O DANIEL QUIMBY,886761655,none,opa_license,0,,,,,,,opa_license,Pre-1950,,-75.089625,40.040157
1000-28 WALNUT ST,19107,The Collins Apartments,+1 267-881-0177,,,200,1957,20,206840,45201400,THOMAS JEFFERSON UNIVERSITY,881008255,matched,opa_license,1,0,1,0,0,1689,1689,opa_license,1950-1979,,-75.158248,39.948236
7400 E ROOSEVELT BLVD,19152,7400 Roosevelt Apartments,+1 855-998-6554,,,196,1973,4,225372,10032000,LINDY-7400 ROOSEVELT LP,881171000,matched,opa_license,1,0,1,0,0,1305,1305,opa_license,1950-1979,,-75.052466,40.047876
3801 CONSHOHOCKEN AVE,19131,The Helston Apartments,+1 267-697-5274,,,186,1970,8,172774,21640400,3801 CONSHOHOCKEN HOLDINGS LLC,881160000,matched,opa_license,1,1,0,0,0,1270,1270,opa_license,1950-1979,,-75.205793,40.003751
8040 ROWLAND AVE,19136,Park Terrace Apartments,+1 215-650-6280,,,183,1964,4,172200,20030500,RONEX CORP,881231500,matched,opa_license,7,0,7,0,0,1230,1550,opa_license,1950-1979,,-75.030612,40.047117
1401-25 N 5TH ST,19122,G8ONE Apartment Building,+1 267-889-0038,,https://brynmawr.yourkwoffice.com,181,1940,10,190276,28158900,UMBRELLA FACTORY LP,881006775,matched,opa_license,2,1,0,1,0,1269,2174,opa_license,Pre-1950,rentcast_api,-75.144099,39.972969
3950 CITY AVE,19131,Lincoln Green Apartments,+1 215-297-6454,,,180,1953,11,210738,38432200,POST PRESIDENTIAL PROPERTY OWNER LLC,881162600,matched,opa_license,0,,,,,,,opa_license,1950-1979,,-75.205799,40.007888
3464 W SCHOOL HOUSE LN,19129,The Grace Apartments,+1 484-573-6448,,,174,1987,3,67370,22923800,PHILADELPHIA UNIVERSITY,881451110,matched,opa_license,0,,,,,,,opa_license,1980-1999,,-75.194957,40.016693
3500-40 POWELTON AVE,19104,ANOVA uCity Square,+1 267-463-2920,,,165,1895,5,133000,24842900,THE COURTS UCAL LLC,881111100,matched,opa_license,0,,,,,,,opa_license,Pre-1950,,-75.193134,39.959579
7200 BRANT PL,19153,Unico Village Senior Apartments,+1 215-365-1828,,,164,1980,2,84125,13870800,"UNICO VILLAGE II, LP",881125155,matched,opa_license,0,,,,,,,opa_license,1980-1999,,-75.234655,39.911531
315-23 N 12TH ST,19107,Goldtex,+1 267-500-9025,,,163,1925,10,140363,29680400,MICHAEL PESTRONK,881519440,matched,opa_license,1,1,0,0,0,1885,1885,opa_license,Pre-1950,,-75.158075,39.958167
3601 CONSHOHOCKEN AVE,19131,West River Apartments,+1 215-660-7891,,,162,1965,4,203522,27169400,GPX FT APARTMENT PROPERTIES LP,881159200,matched,opa_license,7,0,4,3,0,1450,2065,opa_license,1950-1979,,-75.203328,40.004539
9801-15 HALDEMAN AVE,19115,Beechwood Gardens,+1 215-677-5949,,,160,1967,2,140000,17970800,DBA BEECHWOOD PHILADELPHIA LLC,881199001,matched,opa_license,0,,,,,,,opa_license,1950-1979,,-75.029231,40.094094
2108-10 N BROAD ST,19121,Dauphin Arms Apartment Homes,+1 215-235-1156,,,159,1993,4,6396,1349400,TEMPLE UNIVERSITY,881299160,matched,opa_license,0,,,,,,,opa_license,1980-1999,,-75.15691,39.98515
7400 HAVERFORD AVE,19151,Haverford Court Apartments,+1 855-998-6708,,,158,1964,4,140820,18617000,LINDY-7400 HAVERFORD LP,881127500,matched,opa_license,1,0,0,1,0,1640,1640,opa_license,1950-1979,,-75.264082,39.975488
1050 N HANCOCK ST,19123,The Piazza,+1 215-613-9619,,,158,2008,7,163400,42259700,1050 N. HANCOCK PARTNERS LP,881006665,matched,opa_license,0,,,,,,,opa_license,2000-2009,,-75.139304,39.966597
4001 CONSHOHOCKEN AVE,19131,Park Tower Apartments,+1 215-878-8882,parktowerapartments@beaconcommunitiesllc.com,https://www.beaconcommunitiesllc.com,156,1982,,134150,7031000,PARK PRESERVATION LIMITED PARTNERSHIP,886651700,matched,opa_license,0,,,,,,,opa_license,1980-1999,derived_from_email,-75.2124,40.002541
3925 WALNUT ST,19104,3939 Chestnut Street,+1 215-921-4061,,,154,2008,15,304000,56361000,WALNUT STREET LESSE LP,881600508,matched,opa_license,0,,,,,,,opa_license,2000-2009,,-75.201455,39.954343
780 S 52ND ST,19143,The Irvine,+1 267-612-3199,,,153,1950,7,128453,25051900,IRVINE APARTMENTS LLC,881713810,matched,opa_license,1,1,0,0,0,1199,1199,opa_license,1950-1979,,-75.226113,39.946066
315-21 N BROAD ST,19107,The Packard Building,+1 215-267-4490,,,151,1910,8,225000,33745000,JAR HOLDINGS LLC,881041400,matched,opa_license,0,,,,,,,opa_license,Pre-1950,,-75.161414,39.958583
1201 JACKSON ST,19148,Brush Factory Lofts,+1 215-982-2521,,https://www.tcsmgt.com,151,1950,5,147525,28142300,TR JACKSON LP,881450650,matched,opa_license,12,0,9,3,0,1550,2200,opa_license,1950-1979,rentcast_api,-75.166586,39.923204
13109-51 BUSTLETON AVE,19116,Somerton Court Apartments,+1 215-671-9749,,,150,1974,3,179718,32000000,SOMERTON APARTMENTS 2018 LLC,881206510,matched,opa_license,0,,,,,,,opa_license,1950-1979,,-75.012864,40.127855
2062 GRANT AVE,19115,Michner Pointe Apartments,+1 215-398-1476,,,149,1964,3,94000,15757700,GRANT GARDENS HOLDINGS LP,881198800,matched,opa_license,1,0,1,0,0,1295,1295,opa_license,1950-1979,,-75.031809,40.081861
1941-53 N BROAD ST,19122,,,,,149,1999,5,178410,35939100,TEMPLE UNIVERSITY,881299140,none,opa_license,0,,,,,,,opa_license,1980-1999,,-75.156275,39.982855
3700 GATEWAY DR,19145,The Enclaves,+1 844-581-5799,,,149,1968,6,148000,17531900,PARK BRADFORD APARTMENTS LP,881113205,matched,opa_license,0,,,,,,,opa_license,1950-1979,,-75.192083,39.904548
3600 GATEWAY DR,19145,Park Bradford Apartments,,,,149,1968,6,148000,18093900,PARK BRADFORD APARTMENTS LP,881113105,websearch,opa_license,1,0,1,0,0,1485,1485,opa_license,1950-1979,,-75.191847,39.90583
6201 N 10TH ST,19141,Regency House,+1 844-634-1165,,,148,1949,4,167600,13632600,STEVENSON TERRACE APARTMENTS,881150000,matched,opa_license,0,,,,,,,opa_license,Pre-1950,,-75.135482,40.04692
1 BROWN ST,19123,Residences at 1 Brown,+1 215-764-5909,,https://sothebysrealty.com/kurfiss,147,1925,8,265000,41554000,1 BROWN STREET ASSOCIATES LP,881006085,matched,opa_license,2,1,0,1,0,1757,2497,opa_license,Pre-1950,rentcast_api,-75.137512,39.9624
777 S BROAD ST,19147,777 South Broad Street,+1 814-501-6738,,http://tcsgroup.com,146,2009,5,217524,43252600,777 S BROAD ST,881576550,matched,opa_license,21,0,4,17,0,2490,4131,opa_license,2000-2009,rentcast_api,-75.165355,39.941228
205-09 RACE ST,19106,The National Old City Apartments,+1 215-278-9885,,,146,2016,17,149005,38500100,"SECOND AND RACE STREETS, LP",881007100,matched,opa_license,1,1,0,0,0,1885,1885,opa_license,2010-2019,,-75.143312,39.95404
1200-50 CECIL B MOORE AVE,19122,Yorktown Arms,+1 215-765-2600,,,146,1968,6,218960,46368500,TEMPLE UNIVERSITY,881299060,matched,opa_license,0,,,,,,,opa_license,1950-1979,,-75.155044,39.977681
4701-29 PINE ST,19143,Olympic Tower Apartments,+1 215-536-3555,,,145,1930,1,5006,92627700,GARDEN COURT APARTMENTS,881145000,matched,opa_license,53,13,38,2,0,1435,3075,opa_license,Pre-1950,,-75.217045,39.952818
1200-38 FAIRMOUNT AVE,19123,Mily on Green Apartments,+1 215-995-1399,,,140,1979,2,141400,10432300,INTERSTATE REALTY MANAGEMENT,881041749,matched,opa_license,0,,,,,,,opa_license,1950-1979,,-75.157761,39.965557
1101 N 63RD ST,19151,Overbrook Tower,+1 267-219-8690,,,139,1930,10,99900,10133700,LIBERTY PORTFOLIO LLC,881126002,matched,opa_license,1,0,0,1,0,1235,1235,opa_license,Pre-1950,,-75.246036,39.980909
4700 WALNUT ST,19139,"Manor Flats off Sansom, University City, Philly, New Luxury Apartment Rentals",+1 732-351-2567,,,139,1911,5,461834,53936800,WPHS VENTURE PARTNERS LLC,881145255,matched,opa_license,0,,,,,,,opa_license,Pre-1950,,-75.216768,39.955273
3816-36 CHESTNUT ST,19104,The Chestnut,+1 833-876-4829,,,138,1925,7,132048,36363100,HAMILTON COURT,881117000,matched,opa_license,0,,,,,,,opa_license,Pre-1950,,-75.199568,39.954882
301 W QUEEN LN,19144,Kings Manor,+1 215-849-0777,,,138,2015,,72364,1204500,C/O DANIEL QUIMBY,886761620,matched,opa_license,0,,,,,,,opa_license,2010-2019,,-75.175487,40.026531
20 S 36TH ST,19104,Arrive University City,+1 888-910-2827,,,138,1925,7,65380,14525500,AXIS UKA ASSOCIATES LP,881601401,matched,opa_license,0,,,,,,,opa_license,Pre-1950,,-75.194639,39.955233
912-28 WALNUT ST,19107,The Collins Apartments,+1 267-881-0177,,,138,1976,10,228000,31573800,THOMAS JEFFERSON UNIVERSITY,881008240,matched,opa_license,1,0,1,0,0,1818,1818,opa_license,1950-1979,,-75.157007,39.948153
2738-50 BELMONT AVE,19131,Vista Apartment Homes,+1 267-376-8914,,,138,1965,5,119000,15490700,BEEKMAN PLACE INVESTORS LP,881157000,matched,opa_license,1,1,0,0,0,1195,1195,opa_license,1950-1979,,-75.220635,40.000882
9 N 9TH ST,19107,The Warehouse Apartments,+1 215-241-0200,,https://null,137,1922,8,215353,22176000,PMC 811 FILBERT ST ASSOC LP,881014610,matched,opa_license,13,0,10,3,0,1775,2795,opa_license,Pre-1950,rentcast_api,-75.154077,39.952541
505-15 W CHELTEN AVE,19144,Hathaway House Apartments,+1 267-697-5641,,http://tcsgroup.com,137,1968,15,174375,10993200,HATHAWAY ASSOCIATES LP,881210500,matched,opa_license,4,0,1,3,0,1631,2289,opa_license,1950-1979,rentcast_api,-75.183552,40.027886
5600-36 RACE ST,19139,Mt Carmel Garden Apartments,+1 215-474-1888,,,136,1982,6,107376,14463500,INTERSTATE REALTY,881014620,matched,opa_license,0,,,,,,,opa_license,1980-1999,,-75.232851,39.963751
9503 STATE RD,19114,Waterside Apartments,+1 215-632-8188,,,135,1985,6,152835,20828800,BEACON POINTE ASSOCIATE LP,881233101,matched,opa_license,1,1,0,0,0,1425,1425,opa_license,1980-1999,,-74.983643,40.049254
231-47 N 3RD ST,19106,The View at Old City,+1 833-981-3117,,,135,1902,6,173048,28966100,JAR HOLDINGS II LP,881006201,matched,opa_license,1,0,1,0,0,1950,1950,opa_license,Pre-1950,,-75.144048,39.95501
218-26 ARCH ST,19106,The National Old City Apartments,+1 215-278-9885,,https://www.maxwellrealty.com,135,2019,10,175574,30590900,218 ARCH STREET ASSOCIATES LP,881007485,matched,opa_license,6,0,4,2,0,1500,3005,opa_license,2010-2019,rentcast_api,-75.144268,39.951714
2801 N 47TH ST,19131,Vista Apartment Homes,+1 267-376-8914,,,132,1964,13,144500,23834800,RRE IROQUOIS LP,881157500,matched,opa_license,1,0,1,0,0,1575,1575,opa_license,1950-1979,,-75.223024,40.001932
201 S 13TH ST,19107,The Collins Apartments,+1 267-881-0177,,https://www.maxwellrealty.com,132,1901,10,101655,20000000,WALNUT SQUARE PARTNERS,881011501,matched,opa_license,8,0,6,2,0,1420,2035,opa_license,Pre-1950,rentcast_api,-75.161944,39.94883
851 RED LION RD,19115,Ambassador Apartments,+1 215-673-7707,,,129,1973,2,148409,17264500,BIENENFELD HELEN,881199500,matched,opa_license,1,0,1,0,0,1619,1619,opa_license,1950-1979,,-75.029861,40.104224
3300 RACE ST,19104,Vue 32,+1 267-641-8054,,,129,2008,11,113945,39854400,ATTN:  UNIVERSITY HOUSING,881822900,matched,opa_license,0,,,,,,,opa_license,2000-2009,,-75.189669,39.95853
100 W OXFORD ST,19122,Dwell 2nd Street,+1 855-968-9355,,,128,1881,5,175607,13868300,OXFORD MILLS LLC,881006875,matched,opa_license,1,0,1,0,0,1550,1550,opa_license,Pre-1950,,-75.135222,39.973775
4051 FORD RD,19131,Park Tower Apartments,+1 215-878-8882,,,128,1999,,112064,5785000,MULTIFAMILY MANAGEMENT,886907010,matched,opa_license,0,,,,,,,opa_license,1980-1999,,-75.211598,40.000783
1030-42 BELMONT AVE,19104,Stephen Smith Towers Apartments,+1 215-878-9560,,,127,1967,11,75569,12864900,C/O LYNDA ANDREW HOLDER,881446550,matched,opa_license,0,,,,,,,opa_license,1950-1979,,-75.212536,39.97243
